cst,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN,matched_text
men hawaiian shirt,男士哈瓦那衬衫,,0.38%,自然搜索词,"3,041 ",3.0,B08Q7XM29N/B09Y59M7RZ/B0C6SNK6HY,"206,181","9,450 ",290 ,3.07%,"267,784 ","4,055 ",7 ,0.0,"6,734 ",1.4,204 ,6.8%,2.0%,$1.05,$0.80 - $1.33,B0BL137H3D,3.2%,0.6%,B09LVJKN4T,1.9%,0.8%,B093RZQLVX,1.8%,0.6%,"B0BL137H3D,B0CP1TNYTX,B093RZQLVX,B089XWCYN6,B09LVJKN4T,B0C8LS2F33,B0CSYV8723,B07PJ9XBB6,B0CXDX3VRT,B0D4MHWQB6","Shirt, hawaiian"
mens linen shirts short sleeve,男士亚麻衬衫短袖,,0.37%,自然搜索词,"2,980 ",2.0,B0BKCBK6DM/B08Q7Q6J2H,"116,726","19,681 ",604 ,3.08%,"447,853 ","9,745 ",14 ,9.0,"4,735 ",4.2,50 ,12.8%,1.6%,$1.12,$0.85 - $1.40,B0BVB6LQPT,4.8%,0.7%,B0BV27DL6Y,4.8%,0.3%,B0BVB7THLY,3.3%,0.7%,"B0BVB6LQPT,B0C3D5HR1L,B0BQJW8RKJ,B0CQ1KKKGJ,B0CJTXKT89,B093RZQLVX,B083K8DD4K,B0CWH2LF49,B083P4C5C4,B0CZP6FC3M","Linen, Short, Sleeve, Short Sleeve"
mens vacation shirts,男士度假衬衫,,0.36%,自然搜索词,"2,943 ",2.0,B0BKDX8CCV/B09Y59M7RZ,"156,338","11,492 ","2,126 ",18.50%,"233,060 ","5,278 ",49 ,0.0,"16,466 ",0.7,78 ,10.7%,2.3%,$1.20,$0.89 - $1.50,B0CJTXKT89,6.0%,1.0%,B08SQWCV6W,2.6%,1.0%,B0C5JBN3YY,2.1%,0.3%,"B0C5JBN3YY,B08SQWCV6W,B0CRQHWW25,B0CT2YD1SB,B0CNJRZ48T,B0CT5PY3L5,B0CJTWVZYN,B09V82V7T2,B0CRRFS58P,B0CLL28SMF",Vacation
dress shirts,礼服衬衣,,0.36%,自然搜索词/HR推荐词,"2,896 ",2.0,B014MWW68U/B017099ED2,"118,817","15,446 ",965 ,6.25%,"440,747 ","6,587 ",22 ,69.0,"7,777 ",2.0,306 ,10.8%,0.0%,$1.24,$0.93 - $1.39,B00AJOUQI8,4.3%,0.0%,B08ZRX3WQX,4.3%,0.0%,B0012OJO8M,2.2%,0.0%,"B009ESZFEK,B00AJOUQI8,B009ESZFMC,B09JFQR4DC,B09JFZTWVJ,B0012OJO8M,B00BM48EJC,B00D1SQBSI,B06Y4FWGTJ,B0058YUDGE","Dress Shirt, Dress"
mens short sleeve button up,男士短袖纽扣,,0.35%,自然搜索词/SP广告词,"2,854 ",2.0,B0BKCBK6DM/B08Q7Q6J2H,"163,731","12,365 ","1,284 ",10.39%,"274,726 ","5,924 ",30 ,0.0,"7,706 ",1.6,36 ,14.9%,0.6%,$1.11,$0.97 - $1.48,B08P7BS6SV,8.8%,0.0%,B0CWVFC899,4.2%,0.6%,B07JJJ6GR7,2.0%,0.0%,"B07JJJ6GR7,B083P3C62B,B0C5JBYWH7,B0BV241H3F,B0CX22CQGX,B0CQLNXRQM,B01MYH6PWW,B0CMV5H36S,B0BNLH7J1C,B07JHY5F25","Button, Short, Sleeve, Short Sleeve"
summer shirts for men,男士夏季衬衫,,0.33%,自然搜索词,"2,675 ",3.0,B0BKFBMDZB/B08Q7Q6J2H/B0BKCBK6DM,"47,084","45,086 ","6,726 ",14.92%,"945,825 ","22,063 ",153 ,0.0,"36,639 ",1.2,144 ,5.3%,1.7%,$1.09,$0.81 - $1.36,B0BVB6LQPT,2.6%,0.6%,B0CL3YGG6F,1.4%,0.4%,B0BVB7THLY,1.4%,0.7%,"B0BVB6LQPT,B0BV257YG8,B0CYZ82W98,B0CP1MNHX5,B0CL3YGG6F,B077765WMW,B0CMGZYLHN,B0CRQJC4RN,B0CJTXZ1HR,B093RZQLVX",Summer
men's short sleeve shirts,男士短袖衬衫,,0.33%,自然搜索词,"2,634 ",3.0,B0BKCBK6DM/B09Y59M7RZ/B08Q7Q6J2H,"196,685","10,824 ","2,633 ",24.33%,"236,117 ","4,608 ",60 ,0.0,"57,158 ",0.2,57 ,5.7%,0.9%,$1.17,$0.86 - $1.87,B0D3TX5L82,2.1%,0.0%,B0CR3QR64C,2.0%,0.0%,B0BV257YG8,1.6%,0.9%,"B0BV27DL6Y,B07JJJ6GR7,B0CW39BXTQ,B06W5JQHXV,B083P3QPH6,B079TN6RR3,B0C3D5HR1L,B07XLTPC5L,B0CJTYZQQM,B07JHY5F25","Short, Sleeve, Short Sleeve"
big and tall hawaiian shirts for men,大而高的男士夏威夷衬衫,,0.32%,自然搜索词/SP广告词,"2,614 ",1.0,B09Y59M7RZ,"141,629","13,313 ",7 ,0.07%,"363,934 ","5,837 ",1 ,0.0,"6,473 ",2.1,31 ,15.0%,0.3%,$0.93,$0.73 - $1.54,B0CXLW5DTH,7.5%,0.3%,B0D8Q6TGNN,4.0%,0.0%,B076Z7MYFF,3.4%,0.0%,"B0CXLW5DTH,B07PH63KXH,B0BL137H3D,B07PJ7SNG8,B0BL13HK3P,B08SQ39PY5,B09LVJB9KX,B08CVHLQR2,B07NSGJWR2,B089Y81W8V","hawaiian, Tall, big, Big And Tall"
hawaiian shirt men,衬衫男士,,0.32%,自然搜索词,"2,564 ",5.0,B08Q7XM29N/B09Y59M7RZ/B0CP1S3J3H/B09Y5BD38Q/B0C8P4YGT9,"245,645","6,501 ",233 ,3.59%,"179,198 ","3,103 ",6 ,0.0,"6,693 ",1.0,205 ,11.5%,1.6%,$1.05,$0.80 - $1.33,B08TBLDQGT,5.6%,1.2%,B0BL137H3D,3.6%,0.0%,B0C1BCTNW9,2.3%,0.4%,"B0BL137H3D,B093RZQLVX,B0CP1TNYTX,B09LVGHNYH,B09LVJB9KX,B0CY1WXKB2,B0C8LS2F33,B089XWCYN6,B08Q7XM29N,B0C7MXCPHB","Shirt, hawaiian"
mens hawaiian button down shirt,男式哈瓦那纽扣衬衫,,0.30%,自然搜索词,"2,440 ",3.0,B09Y59M7RZ/B08Q7Q6J2H/B0CP56Q61G,"252,999","7,770 ",35 ,0.46%,"193,295 ","3,507 ",1 ,1.0,"5,689 ",1.4,84 ,8.0%,0.4%,,-,B0BL137H3D,3.8%,0.4%,B0BL2XJ4KT,2.3%,0.0%,B0C1BCTNW9,1.9%,0.0%,"B093RZQLVX,B0BL137H3D,B09LVJKN4T,B089Y2MBGZ,B0CRQJF982,B0CSYRVGSX,B08Q7Q6J2H,B09K5C55C7,B09Q683LQK,B0C1YNXVT9","Button, hawaiian, Shirt, Button Down"
mens button up shirt,男式纽扣衬衫,,0.30%,自然搜索词/品牌广告词/SP广告词,"2,439 ",1.0,B0BKCBK6DM,"136,147","14,049 ","2,500 ",17.80%,"415,288 ","6,194 ",57 ,0.0,"10,354 ",1.4,33 ,8.3%,0.7%,$1.10,$0.97 - $1.28,B0BV241H3F,4.3%,0.4%,B0BV257YG8,2.0%,0.0%,B0BV236Z29,2.0%,0.4%,"B0BV241H3F,B0CX22CQGX,B083P3C62B,B0CL6W4BHQ,B0B28SWXWP,B0CMV5H36S,B0BNLH7J1C,B0C3D8F5TW,B0CNXK4KRH,B08P67DW1V","Button, Shirt, Button Up"
beach shirt,沙滩衫,,0.26%,自然搜索词,"2,125 ",1.0,B08Q7Q6J2H,"166,681","12,645 ",832 ,6.58%,"330,655 ","5,477 ",19 ,58.0,"23,756 ",0.5,55 ,5.3%,2.1%,$1.16,$0.87 - $1.46,B0BVB6LQPT,1.9%,1.0%,B0BVB6FXR1,1.7%,0.7%,B0CQSXF3X9,1.7%,0.4%,"B0BVB6FXR1,B08FHQVRH8,B08SQ6HHSG,B0CJXV4LQR,B0CJTXKT89,B0C3D5HR1L,B0CL6WMYZX,B08Q7Q6J2H,B0CNJRTG4H,B0CL3W4ZM8","Beach, Shirt"
white collared shirt men,白领衬衫男,,0.26%,自然搜索词,"2,117 ",1.0,B0BKDX8CCV,"161,281","10,005 ",248 ,2.48%,"234,349 ","4,121 ",6 ,0.0,"2,843 ",3.5,29 ,12.5%,2.8%,$1.28,$0.83 - $1.52,B06WGXDZSJ,5.1%,2.1%,B07KLWXN76,4.5%,0.0%,B010C7MHUQ,2.9%,0.7%,"B06WGXDZSJ,B09JFSPVMH,B010C7MHUQ,B0CN14SX2D,B01GH5GSLG,B075LZN9LP,B0CR36G755,B00KBZUAEK,B009ESZFFO,B0746CT87M","Shirt, White, Collared"
mens white linen shirt,男士白色亚麻衬衫,,0.25%,自然搜索词,"2,038 ",1.0,B0BKDX8CCV,"165,980","9,639 ",319 ,3.31%,"274,328 ","4,481 ",8 ,0.0,"3,919 ",2.5,26 ,16.8%,5.1%,$1.04,$0.79 - $1.30,B0CQ24VWTD,6.9%,2.3%,B0C3D5HR1L,5.4%,1.6%,B086D64HGJ,4.5%,1.2%,"B0B1TKV6KP,B0C3D5HR1L,B0CLKZK2KN,B0BF5GNKX3,B0CQ24VWTD,B086D64HGJ,B0CXX812FT,B08CGQ1Q6F,B0CQ1KKKGJ,B0CQSY6M35","Linen, White, Shirt"
mens casual shirts short sleeve,男士休闲衬衫短袖,,0.25%,自然搜索词,"2,006 ",2.0,B09Y59M7RZ/B0BKCBK6DM,"286,483","5,598 ",884 ,15.80%,"145,403 ","2,408 ",21 ,1.0,"52,614 ",0.1,31 ,5.7%,0.0%,$0.84,$0.68 - $1.08,B0BVB6LQPT,2.2%,0.0%,B0CKV6LJ1N,1.9%,0.0%,B0CKV7J3HK,1.6%,0.0%,"B0BVB6LQPT,B0CW39BXTQ,B0CKQF5T21,B0CJTYYDPV,B083P3C62B,B0CR3RGPQ5,B0CPHYKS42,B0C3D5HR1L,B0CKV7J3HK,B07JKGTWGN","Casual, Short, Sleeve, Short Sleeve"
casual shirts for men,男士休闲衬衣,,0.24%,自然搜索词/品牌广告词,"1,962 ",1.0,B0BKCBK6DM,"55,768","29,295 ","2,659 ",9.08%,"670,987 ","14,342 ",61 ,0.0,"64,215 ",0.5,81 ,4.8%,1.4%,$1.16,$1.00 - $1.28,B0BVB6LQPT,2.1%,0.1%,B0BVB6FXR1,1.4%,0.6%,B0BVB7THLY,1.3%,0.7%,"B0BVB6LQPT,B0CJTYPXLB,B077765WMW,B0CL6JGLFW,B083P314GB,B0BRXVTBKG,B0CQLPRMLB,B0BQMTWDS3,B06WVHV3W9,B077ZJXCTS",Casual
men summer shirts,男士夏季衬衫,,0.23%,自然搜索词,"1,894 ",3.0,B0BKFBMDZB/B08Q7Q6J2H/B0BKCBK6DM,"211,291","9,980 ",284 ,2.86%,"299,075 ","4,277 ",7 ,0.0,"41,197 ",0.2,77 ,9.3%,2.0%,$1.13,$0.86 - $1.41,B0CJTXKT89,4.4%,1.2%,B0BV241H3F,3.3%,0.8%,B0BV27DL6Y,1.7%,0.0%,"B0BV241H3F,B0CP1MNHX5,B0CYZ82W98,B0CMGZYLHN,B0BQK6TQSC,B07Q5Y1BWQ,B0CL6TQPCP,B077765WMW,B09V7W1S4R,B0CNXK6FWF",Summer
short sleeve button up,短袖纽扣衫,,0.23%,自然搜索词,"1,880 ",1.0,B0BKCBK6DM,"171,375","11,054 ",766 ,6.93%,"331,604 ","5,002 ",18 ,6.0,"7,431 ",1.5,65 ,9.1%,0.0%,$1.04,$0.79 - $1.30,B0CR3QR64C,3.3%,0.0%,B0CPTHL7KT,3.2%,0.0%,B07JHY5F25,2.6%,0.0%,"B0BV236Z29,B083P3C62B,B0CX22CQGX,B07JHY5F25,B0CMV5H36S,B07JJJ6GR7,B0CQLRQCYF,B0CLL8LV64,B00XH7IO88,B0CZ938PL7","Button, Short, Sleeve, Short Sleeve"
mens casual button down shirts,男式休闲纽扣衬衫,,0.23%,自然搜索词/品牌广告词,"1,878 ",1.0,B0BKCBK6DM,"179,467","11,547 ",986 ,8.54%,"280,179 ","5,220 ",23 ,1.0,"14,244 ",0.8,76 ,8.4%,0.0%,$1.14,$1.02 - $1.35,B0BV27DL6Y,3.5%,0.0%,B08P7BS6SV,2.8%,0.0%,B0C2H34MHG,2.2%,0.0%,"B0BVB7THLY,B0CQLQLWXL,B0BNL5H6Y7,B0CL6WP8PH,B0775CTC7J,B09N6LNB8R,B0B28SWXWP,B083P3C62B,B093RZQLVX,B07Q735LGM","Casual, Button Down, Button"
floral shirts for men,男士花卉衬衫,,0.23%,自然搜索词,"1,861 ",2.0,B08Q7Q6J2H/B09Y59M7RZ,"227,031","7,691 ",20 ,0.27%,"218,013 ","3,579 ",1 ,0.0,"4,819 ",1.6,38 ,8.3%,3.0%,$0.92,$0.68 - $1.14,B09Q67H39F,3.2%,1.0%,B0C1BCTNW9,2.7%,1.0%,B07XCJVBLP,2.5%,1.0%,"B08SQ39PY5,B07XCJVBLP,B08Q7Q6J2H,B09LVJB9KX,B0CZ98VMJ1,B0C1B6VCGK,B0CSZ3W1NJ,B07JHQ8TGZ,B0CY1JGTSZ,B0BZRHM7PB",Floral
a shirts for men pack,男士衬衫包,,0.23%,自然搜索词,"1,835 ",1.0,B08Q7XM29N,"54,064","32,728 ",991 ,3.03%,"936,776 ","14,743 ",23 ,0.0,"3,113 ",10.5,46 ,25.5%,7.4%,$1.00,$0.58 - $1.14,B06XW4T56N,13.0%,1.1%,B00W80Z87K,6.8%,3.1%,B00HVVVMM6,5.8%,3.2%,"B07JD592BB,B07JBRGFH5,B06XWLXMM4,B00W80Z87K,B00HVVVMM6,B07JCSJF5G,B06XWH21JT,B00XC0JBQE,B01AZS4B9C,B077ZJXCTS","Shirt, Pack"
kenny chesney merchandise,肯尼·切斯尼商品,,0.21%,自然搜索词/视频广告词,"1,727 ",1.0,B09Y5BD38Q,"184,421","8,107 ",12 ,0.15%,"165,780 ","3,961 ",1 ,0.0,196 ,41.4,24 ,17.8%,6.7%,$0.87,$0.66 - $1.10,B0838C1DMD,10.4%,3.0%,B09Y576B34,4.0%,2.2%,B0BFN266R7,3.4%,1.5%,"B088X21FQD,B07QBBJVK3,B0838C1DMD,B098KYN2M4,B09K2N9QSQ,B07JQWNTSY,B09Y576B34,B00ZJG1F6I,B09TTYCPLV,B0BFN266R7",Merch
shirts for men short sleeve,短袖男士衬衣,,0.21%,自然搜索词,"1,705 ",2.0,B09Y59M7RZ/B0BKCBK6DM,"323,321","5,992 ",920 ,15.36%,"167,454 ","2,290 ",21 ,0.0,"57,217 ",0.1,15 ,5.2%,1.5%,$1.19,$0.88 - $1.49,B07JJJ6GR7,1.9%,1.0%,B0BV241H3F,1.7%,0.5%,B0D2WW3NZ9,1.6%,0.0%,"B0BV27DL6Y,B07JJJ6GR7,B06W5JQHXV,B0CJTYZQQM,B07XLTPC5L,B0C3D5HR1L,B0CW39BXTQ,B07DRMT92L,B06W57VDYM,B01GH5GSLG","Short, Sleeve, Short Sleeve"
beach shirts,沙滩衫,,0.20%,自然搜索词,"1,650 ",2.0,B08Q7Q6J2H/B0CP1S3J3H,"197,664","8,957 ",5 ,0.06%,"208,403 ","3,807 ",1 ,25.0,"26,194 ",0.3,87 ,6.0%,0.0%,$1.03,$0.68 - $1.22,B0BVB6FXR1,2.1%,0.0%,B0CQSXF3X9,2.1%,0.0%,B0CRZCZMH9,1.9%,0.0%,"B0BVB6FXR1,B08SQ6HHSG,B0CNJRTG4H,B08FHQVRH8,B08Q7Q6J2H,B0CJTXKT89,B0BL13HK3P,B08VMWYTZ9,B0CL6WMYZX,B0CMH433G7","Beach, Shirt"
button up shirt,纽扣衬衫,,0.20%,自然搜索词/SP广告词,"1,642 ",1.0,B0BKCBK6DM,"193,261","8,869 ",223 ,2.52%,"225,930 ","4,015 ",6 ,8.0,"57,592 ",0.2,236 ,6.1%,0.6%,$1.10,$0.94 - $1.29,B0BV241H3F,2.7%,0.6%,B0C2H1DTG4,1.9%,0.0%,B0CX22CQGX,1.5%,0.0%,"B0BV241H3F,B083P3C62B,B0CX22CQGX,B06XWQ82LM,B07XD2KZHR,B0CMV5H36S,B0CNXK4KRH,B0CZ938PL7,B0CL6W4BHQ,B08P67DW1V","Button, Shirt, Button Up"
men's button down short sleeve shirts,男士纽扣短袖衬衫,,0.20%,自然搜索词,"1,631 ",3.0,B0CP1S3J3H/B08Q7Q6J2H/B0BKCBK6DM,"183,925","11,890 ",312 ,2.63%,"331,525 ","4,604 ",8 ,0.0,"10,196 ",1.2,37 ,11.5%,1.1%,$0.91,$0.59 - $1.27,B08P7BS6SV,6.7%,0.0%,B0BVB6LQPT,2.9%,1.1%,B07JJJ6GR7,2.0%,0.0%,"B0BVB6LQPT,B07JJJ6GR7,B0CSD62HF4,B07HL2P22X,B0CQLRTRVM,B0CW3HZYX1,B0CWVFC899,B083P314GB,B079TN6RR3,B09H35F95W","Button, Short, Sleeve, Short Sleeve"
button up short sleeve shirts for men,男士纽扣短袖衬衣,,0.20%,自然搜索词,"1,595 ",2.0,B0BKCBK6DM/B0CP1S3J3H,"190,029","12,072 ","1,139 ",9.44%,"277,313 ","5,745 ",26 ,0.0,"7,635 ",1.6,32 ,7.8%,1.5%,$0.73,$0.57 - $1.13,B0BV241H3F,3.8%,0.3%,B0BV257YG8,2.3%,1.2%,B0C2H1DTG4,1.7%,0.0%,"B0BV241H3F,B0CQLRQCYF,B0CX22CQGX,B07JJJ6GR7,B083P3C62B,B07JHY5F25,B0CMV5H36S,B0CPM64R4C,B01N4WXH7V,B0CN68MMP8","Button, Short, Sleeve, Short Sleeve"
hawaiin shirt,哈瓦伊恩衬衫,,0.20%,自然搜索词,"1,594 ",2.0,B08Q7XM29N/B09Y59M7RZ,"359,963","4,230 ",285 ,6.75%,"88,735 ","1,910 ",7 ,0.0,"14,172 ",0.3,44 ,14.1%,3.3%,$1.10,$0.82 - $1.37,B0BX9K5P5R,8.8%,2.0%,B0C1BCTNW9,3.1%,1.3%,B0BX9KMNNZ,2.2%,0.0%,"B0CP1TNYTX,B0CY1WXKB2,B09LVGHNYH,B08SQ6HHSG,B07NSGJWR2,B0CTHLG6FF,B0CG152MPB,B08Q7XM29N,B0CSFMQLT6,B07JHQ8TGZ","Shirt, Hawaii"
shirt men,男士衬衫,,0.20%,自然搜索词/SP广告词,"1,586 ",1.0,B0BKCBK6DM,"198,779","8,906 ",723 ,8.12%,"179,401 ","3,899 ",17 ,0.0,"64,264 ",0.1,17 ,6.3%,0.0%,$1.14,$1.00 - $1.40,B0BV241H3F,3.2%,0.0%,B0CZLJRDMJ,1.6%,0.0%,B0CPTHL7KT,1.5%,0.0%,"B0787P86ZZ,B0BV241H3F,B077ZJXCTS,B0BPDZ61XX,B01GH5GSLG,B00NOY3JSE,B0CSWGBR4L,B00NOY3JKW,B0785VV446,B0017SKHF2",Shirt
mens beach shirt,男式沙滩衫,,0.20%,自然搜索词,"1,579 ",1.0,B08Q7Q6J2H,"191,590","9,509 ","1,315 ",13.83%,"260,541 ","4,344 ",30 ,2.0,"16,755 ",0.6,13 ,9.5%,1.4%,$1.15,$0.87 - $1.45,B0C2H58ZDM,3.9%,0.0%,B0CJTXKT89,3.3%,0.4%,B0BV241H3F,2.3%,1.1%,"B0BV241H3F,B08SQ6HHSG,B0CJTXKT89,B08NSS8W59,B0CNJRTG4H,B0CWH3LH7N,B0CL6WMYZX,B0CJ55SX71,B0CMH433G7,B0CQ1KKKGJ","Beach, Shirt"
aloha shirt men,阿罗哈衬衫男士,,0.19%,自然搜索词,"1,573 ",2.0,B09Y59M7RZ/B0CP1S3J3H,"257,831","6,887 ",15 ,0.23%,"191,846 ","3,285 ",1 ,0.0,"7,356 ",0.9,85 ,8.1%,0.5%,$1.08,$0.74 - $1.41,B0CSJWNRHF,2.8%,0.0%,B089XWCYN6,2.7%,0.0%,B089XVRWQC,2.6%,0.5%,"B08SQ6HHSG,B09LVJB9KX,B089XVRWQC,B07PKNFJYK,B089Y2MBGZ,B09K5CP26B,B0CY1SK1TJ,B0BL11LHJH,B0B12VJ1TB,B0CSJWNRHF","Shirt, Aloha"
mens tropical shirts short sleeve,男士热带衬衫短袖,,0.19%,自然搜索词,"1,558 ",3.0,B08Q7XM29N/B09Y59M7RZ/B0CP1S3J3H,"362,353","4,452 ",21 ,0.48%,"114,690 ","1,932 ",1 ,0.0,"3,427 ",1.3,15 ,11.6%,2.2%,,-,B0CDGQ82NG,5.4%,0.6%,B09F34ZCR3,3.3%,0.6%,B0BL137H3D,3.0%,1.1%,"B08SQ39PY5,B0CSJQPY19,B0BL137H3D,B09LVJKN4T,B0CP1S82MC,B0CN6BZRTJ,B0CJTZCHV3,B09Y59M7RZ,B089Y2MBGZ,B0CDGTZ7LW","Tropical, Short, Sleeve, Short Sleeve"
men button down shirt short sleeve,男士纽扣衬衫短袖,,0.19%,自然搜索词,"1,543 ",2.0,B0CP1S3J3H/B0BKCBK6DM,"149,157","13,599 ","1,121 ",8.25%,"404,185 ","5,357 ",26 ,0.0,"10,207 ",1.3,13 ,8.9%,1.2%,$0.92,$0.66 - $1.84,B0BVB6LQPT,3.3%,1.2%,B0CWVFC899,3.1%,0.0%,B0CR3QR64C,2.5%,0.0%,"B0BVB6LQPT,B07JJJ6GR7,B0CJTZLCQ2,B0CR3QR64C,B0CMV4722V,B0BNL5H6Y7,B07JHY5F25,B0C3D5HR1L,B0CSD62HF4,B08SQWCV6W","Shirt, Short, Button, Short Sleeve, Sleeve"
mens tropical shirts,男式热带衬衫,,0.19%,自然搜索词,"1,515 ",3.0,B08Q7XM29N/B09Y59M7RZ/B09Y5BD38Q,"364,557","3,912 ",17 ,0.46%,"115,839 ","1,707 ",1 ,2.0,"3,978 ",1.0,96 ,7.8%,3.2%,$1.07,$0.80 - $1.34,B0BL137H3D,2.9%,1.3%,B0CDGQ82NG,2.6%,0.6%,B0C1BCTNW9,2.3%,1.3%,"B0BL137H3D,B08SQ39PY5,B0C8M9KYXF,B0CY1VBGW9,B09LVJKN4T,B0C5JDG61W,B089Y2MBGZ,B0CJTZCHV3,B0CT2SP1K2,B0CSJV4G6M",Tropical
hawaii shirt,哈瓦伊衬衫,,0.19%,自然搜索词,"1,513 ",3.0,B09Y59M7RZ/B08Q7Q6J2H/B0CP1S3J3H,"382,032","4,438 ",285 ,6.44%,"126,389 ","1,964 ",7 ,7.0,"5,915 ",0.8,68 ,15.2%,1.1%,$0.75,$0.56 - $0.94,B0BZW45MXM,7.0%,0.0%,B0CT5TZBFL,4.9%,0.0%,B0BX9K5P5R,3.4%,1.1%,"B09LVJB9KX,B08SQ6HHSG,B0BZW361DF,B07PJ9XBB6,B0BX9K5P5R,B08Q7Q6J2H,B0CP1TNYTX,B0BL145735,B07JHQ8TGZ,B0C6QFLXZJ","Shirt, Hawaii"
mens shirts,男式衬衫,,0.19%,SP广告词,"1,509 ",2.0,B014MWW68U/B0BKCBK6DM,"1,791","338,935 ","1,152 ",0.34%,"10,048,044 ","129,565 ",27 ,0.0,"60,479 ",5.6,303 ,5.7%,1.5%,$1.33,$1.00 - $1.65,B0BV241H3F,2.5%,0.6%,B077ZJXCTS,1.9%,0.4%,B0787P86ZZ,1.3%,0.6%,"B077ZJXCTS,B0BV241H3F,B08F2N6V84,B0785VV446,B0787P86ZZ,B09312N4RH,B0BPDZ61XX,B07JCS8NRC,B078LC7GCX,B077765WMW",Shirt
big and tall shirts for men,大而高的男士衬衫,,0.19%,自然搜索词,"1,506 ",1.0,B08Q7XM29N,"11,594","116,058 ",69 ,0.06%,"2,542,322 ","48,097 ",3 ,6.0,"69,269 ",1.7,79 ,6.7%,0.4%,$0.87,$0.76 - $1.00,B0C1HQ3TVB,3.3%,0.1%,B09FKJJCSY,1.9%,0.0%,B0BPDZ61XX,1.5%,0.3%,"B07QRWJ2MY,B000Q9WILY,B0BPDZ61XX,B0C1HQ3TVB,B00JUM8WEU,B01M0R0HRW,B00VZYXF9I,B09P229LM5,B0BPDWQCRM,B08NWJL7VX","Tall, big, Big And Tall"
caribbean shirts for men,男士加勒比衬衫,,0.19%,自然搜索词,"1,496 ",3.0,B09Y59M7RZ/B08Q7Q6J2H/B0BKCBK6DM,"383,846","4,656 ",14 ,0.31%,"96,146 ","2,123 ",1 ,0.0,492 ,9.5,22 ,5.4%,1.8%,$0.89,$0.68 - $1.12,B0CSJV4G6M,2.1%,0.0%,B0BKZZJ1GJ,1.7%,0.6%,B0CSJQXY5Z,1.6%,1.2%,"B07PJ9XBB6,B08SQ39PY5,B0BV241H3F,B0CJTWL9DB,B0BKZZJ1GJ,B09Y59M7RZ,B08FHQVRH8,B0CSJV4G6M,B0CDGQX536,B09F34ZCR3",Shirt
aloha shirt,阿罗哈衬衫,,0.18%,SP广告词,"1,464 ",2.0,B09Y5BD38Q/B09Y59M7RZ,"207,216","7,567 ",7 ,0.10%,"154,308 ","3,578 ",1 ,45.0,"10,166 ",0.7,54 ,8.7%,1.9%,$0.91,$0.73 - $1.11,B09CKYLFQS,4.8%,0.6%,B0C6QD3P6S,2.1%,1.3%,B0CSJWNRHF,1.8%,0.0%,"B08SQ6HHSG,B09K5D371S,B07XNYLNQM,B0BL11LHJH,B09Q683LQK,B09LVJKN4T,B0CSZ58N5M,B0CSJWNRHF,B09M3J1N2C,B07PKNFJYK","Shirt, Aloha"
brixton shirts for men,布里克斯顿男士衬衫,,0.17%,自然搜索词/品牌广告词,"1,411 ",1.0,B0BKCBK6DM,"210,990","7,807 ",254 ,3.26%,"227,111 ","3,492 ",6 ,0.0,200 ,39.0,7 ,25.9%,11.1%,$1.11,$0.82 - $1.25,B0BJ161SYF,13.5%,4.4%,B0BTBTWKPK,6.3%,0.9%,B0BJ14JYZD,6.1%,5.8%,"B0BJ147HQZ,B0BJ161SYF,B0BJ146K42,B0CG2P2BYR,B0BJ143WZL,B098L6SJDN,B0BJ12R45G,B0741DJPB8,B0BJ15MNKZ,B0C88FBK63",Shirt
funny hawaiian shirts for men,有趣的夏威夷男士衬衫,,0.17%,自然搜索词,"1,396 ",1.0,B09Y59M7RZ,"79,721","21,284 ",42 ,0.20%,"567,771 ","9,762 ",1 ,0.0,"10,609 ",2.0,160 ,7.5%,0.0%,$0.99,$0.74 - $1.24,B0BRHB6P63,3.1%,0.0%,B0BVBCQBW4,2.2%,0.0%,B0CZ41YW7T,2.1%,0.0%,"B07NSGJWR2,B08Q7W62TG,B0BRHB6P63,B0CSSBJLH4,B0CZ41YW7T,B0CZCXNMWX,B0C4Y5R9LK,B0D2BC3Y94,B0C8D4Y8TX,B0BLXX872S","Funny, hawaiian"
palm angels shirt men,棕榈天使衬衫男,,0.17%,自然搜索词/视频广告词,"1,387 ",1.0,B09Y5BD38Q,"214,403","6,216 ",171 ,2.77%,"183,795 ","2,450 ",4 ,0.0,350 ,17.8,17 ,18.7%,2.4%,$0.55,$0.40 - $0.68,B0D9K36T7Z,7.0%,0.0%,B0CM6DTVPL,5.9%,0.0%,B0CN37Z1TP,5.8%,2.4%,"B0CGL5PKWW,B0CM6GVSJ8,B0D9K36T7Z,B0BNX7GX6G,B0CSJR6SQK,B0B1CRSHLC,B0CN37Z1TP,B0CP9YDH1C,B0CTR31QVF,B0CPHX737J","Shirt, Palm"
